"EVENT"
"Volume, 24hr urine"
"O_Volume, 24hr urine"
"Amylase:creatinine ratio, urine"
"Immunofixation, urine"
"KFRE 2-year risk of kidney failure"
"KFRE 5-year risk of kidney failure"
"3-methoxytyramine:creat ratio, urine"
"Osmolality, urine"
"O_Osmolality, urine"
"5-HIAA:creatinine ratio, urine"
"O_5-HIAA:creatinine ratio, urine"
"Ganglioside GQ1b Ab, CSF"
"Volume, urine"
"Thrombin time, blood"
"O_Thrombin time, blood"
"Galactose-1-P Uridyl Transferase, blood"
"Porphobilinogen:creatinine ratio, urine"
"IgG:albumin ratio, CSF"
"3-methoxytyramine excretion, 24hr urine"
"Porphyrin:creatinine ratio, urine"
"Protein:creatinine ratio, urine"
"O_Protein:creatinine ratio, urine"
"Amylase output, 24hr urine"
"Amphetamine screen, urine"
"Cannabinoids screen, urine"
"Ganglioside GM1 Ab, CSF"
"Beta trace protein, Fluid"
"5-HIAA output, 24hr urine"
"O_5-HIAA output, 24hr urine"
"IGLON5 Antibodies, CSF"
"Albumin:creatinine ratio, urine"
"O_Albumin:creatinine ratio, urine"
"O_Organic acids level, urine"
"Glycine receptor antibody, CSF"
"O_Lymphocyte proliferation screen, blood"
"Porphobilinogen level, urine"
"Lactate level, CSF"
"3-Methoxytyramine, plasma"
"O_Lactate level, CSF"
"Xanthochromia detection, CSF"
"O_Xanthochromia detection, CSF"
"pH, urine"
"O_pH, urine"
"Beta-2 microglobulin level, serum"
"Iohexol clearance"
"CD16+ CD56+ count, blood"
"Amphiphysin, CSF"
"O_Drugs of abuse screen, urine"
"Aldosterone:renin ratio, blood"
"Urobilinogen level, urine"
"O_Urobilinogen level, urine"
"Reptilase time, blood"
"O_Reptilase time, blood"
"Isocyanate TDI IgE level, blood"
"O_Lactate dehydrogenase level, CSF"
"O_Isocyanate TDI IgE level, blood"
"Methotrexate level, CSF"
"Yo (blot), CSF"
"Collection period, urine"
"Orexin level, CSF"
"O_Orexin level, CSF"
"Isocyanate HDI IgE level, blood"
"O_Isocyanate HDI IgE level, blood"
"Reducing substance, urine"
"Citrate:creatinine ratio, urine"
"Citrate output, 24hr urine"
"O_Reducing substance, urine"
"Fibroblast growth factor 23, plasma"
"O_Citrate output, 24hr urine"
"Magnesium output, 24hr urine"
"Lysozyme level, urine"
"O_Magnesium output, 24hr urine"
"Immature Granulocytes count, blood"
"Calcium output, 24hr urine"
"O_Calcium output, 24hr urine"
"Methadone level, urine"
"Urea output, 24hr urine"
"See CSF for oligoclonal band results"
"O_Urea output, 24hr urine"
"CD16+ CD56+ % NK cells, blood"
"Viscosity level, blood"
"Mi-2 antibody by Immunoblot"
"O_Viscosity level, blood"
"Potassium output, 24hr urine"
"O_Chromium level, blood"
"O_Potassium output, 24hr urine"
"IgG, CSF"
"Citrulline level, plasma"
"Phosphate output, 24hr urine"
"O_Phosphate output, 24hr urine"
"Mean platelet volume, blood"
"Oxalate output, 24hr urine"
"O_Oxalate output, 24hr urine"
"Creatinine output, 24hr urine"
"O_Creatinine output, 24hr urine"
"IGLON5 Titre, CSF"
"ctO2c (BG)"
"Yo Ab level, CSF"
"11-Deoxycortisol level, serum"
"O_Biotinidase level, blood"
