"EVENT"
"O_Complement C3 level, blood"
"Albumin level, fluid"
"Fibroblast growth factor 23, plasma"
"rCor a 8 hazelnut f425 IgE level, blood"
"Cardiolipin IgG Ab level, blood"
"Wheat IgE level, blood"
"HMGCoAR antibody"
"Carboxyhaemoglobin level, blood"
"Rabbit epithelium IgE level, blood"
"Amphiphysin Abs, blood"
"O_Reducing substance, urine"
"Growth hormone level 180min, serum"
"Hamster epithelium IgE level, blood"
"Caeruloplasmin level, blood"
"Adrenocorticotrophic hormone, plasma"
"Dog dander IgE, blood"
"Lipoprotein (a) level, blood"
"Absolute Basophils"
"Absolute Monocytes"
"Cortisol level, serum"
"Cashew nut IgE level, blood"
"O_Alpha-galactosidase enzyme level,blood"
"Aldosterone:Renin ratio 0min"
"O_Proinsulin level, blood"
"Calprotectin level, faeces"
"O_Cortisol level, blood"
"Amylase"
"GABA(b)R antibody, CSF"
"Penicillin G IgE level, blood"
"Immunoglobulin M level, blood"
"Pneumococcal serotype S5 antibody"
"O_Beta-thalassaemia screen, blood"
"Collagen platelet agg, whole blood"
"Prekallikrein assay, blood"
"O_Porphyrin screen, urine"
"O_Growth hormone level 120min, blood"
"Growth hormone level 90min, serum"
"Ganglioside GM1 antibody, blood"
"O_pH, urine"
"O_Pecan nut IgE level, blood"
"Centromere Ab level, blood"
"MuSK abs IIF, blood"
"O_Protein electrophoresis, urine"
"O_Bone marrow aspirate exam"
"O_Urea level, dialysate"
"O_Citrulline level, blood"
"Thyroglobulin level, serum"
"O_Thyroglobulin Ab level, blood"
"Ginger IgE level, blood"
"O_Orexin level, CSF"
"O_Growth hormone level 30min, blood"
"Candida Ab level, blood"
"Fibrinogen gamma gene, blood"
"O_Phytanic acid level, blood"
"O_Malarial parasite screen, blood"
"O_Mouse urine IgE level, blood"
"Bcr-abl:abl ratio, blood"
"Ristocetin cofactor assay, blood"
"O_Lupine seed IgE level, blood"
"Troponin I"
"Warfarin Dose Next Test"
"O_Serum for Oligoclonal banding"
"Tissue transglutaminase IgA Ab, blood"
"O_Crab IgE level, blood"
"O_Renal profile, blood"
"O_Inhibin B level, blood"
"Anti-neutrophil cytoplasmic Ab, blood"
"7-alpha cholestenone level, blood"
"Luteinising hormone level, serum"
"Macroprolactin level, blood"
"O_Common ragweed IgE level, blood"
"Lentil IgE level, blood"
"O_Clotting screen, blood"
"Growth hormone level 60min, serum"
"Glomerular basement membrane Ab, blood"
"Glucose level, dialysate"
"Complement C4 level, blood"
"Adenosine deaminase level, fluid"
"O_Inorganic phosphate level, urine"
"O_Caged bird feathers IgE level, blood"
"Monocyte %, blood"
"Factor X level, blood"
"O_Hen (serum) antibodies, blood"
"rAra h 8 peanut f352 IgE level, blood"
"Calcium level, urine"
"Pumpkin seed IgE level, blood"
"5-HIAA output, 24hr urine"
"Haemoglobinopathy interpretation"
"Ro Ab level, blood"
"O_Cortisol level 90min, blood"
"Soya bean IgE level, blood"
"Striated muscle Ab level, blood"
"Volume, urine"
"Red Blood Cell Distribution Width"
"O_Prothrombin time, blood"
"O_Bcr-abl gene level, blood"
"Mushroom IgE level, blood"
"Folate level, serum"
"O_CA-19-9 level, blood"
"NRBC count per 100 WBC, blood"
